(540938, -1080),
(542521, -1080),
(544205, -1080),
(547508, -1080),
(549150, -1080),
(550478, -1101.83),
(552860, -1080),
(554181, -1080),
(555576, -1080),
(558131, -1119.42),
(559270, -1143.54),
(560670, -1170),
(562395, -1170),
(566183, -1170),
(568085, -1170),
(570039, -1170),
(573733, -1170),
(575094, -1191.32),
(576368, -1195.85),
(577524, -1170),
(579630, -1195.17),
(580903, -1207.24),
(582672, -1206.61),
(585925, -1223.65),
(587092, -1260),
(588572, -1260),
(592092, -1260),
(593871, -1260),
(595777, -1260),
(598747, -1290.0),
(599967, -1260),
(601143, -1260),
(602250, -1260),
(605018, -1295.29),
(606415, -1311.65),
(607825, -1326.99),
(611366, -1350),
(613194, -1350),
(615100, -1350),
(618951, -1350),
(620776, -1350),
(622488, -1350),
(624232, -1350),
(626887, -1386.67),
(628161, -1377.15),
(629458, -1350),
(633051, -1350),
